mission_time,timestamp,track_id,type,range_m,azimuth_deg,elevation_deg,velocity_x_mps,velocity_y_mps,velocity_z_mps,confidence,threat_priority
3.0070459842681885,1764505805.206472,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.1121490001678467,1764505805.311575,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.2140979766845703,1764505805.413524,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.317584991455078,1764505805.517011,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.4226629734039307,1764505805.622089,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.5277600288391113,1764505805.727186,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.631037950515747,1764505805.830464,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.7345380783081055,1764505805.933964,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.8396401405334473,1764505806.039066,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
3.9415640830993652,1764505806.14099,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.046084880828857,1764505806.2455108,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.147775173187256,1764505806.347201,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.248558282852173,1764505806.4479842,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.353665113449097,1764505806.553091,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.454771995544434,1764505806.654198,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.555160999298096,1764505806.754587,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
4.655448913574219,1764505806.8548748,1000,UAV,672.0,120,10.0,-5.0,-20.0,0.0,0.7999999999999999,0.14909918083152796
